Relative values,,,,
stanza, Garcilaso, Herrera, Gongora, Lope
sonnet,9.69,14.85,7.44,17.05
cantar,0.00,0.00,56.28,0.92
chamberga,0.00,0.00,0.00,0.46
copla_arte_mayor,0.00,0.00,0.00,0.00
copla_arte_menor,0.00,0.00,0.00,0.00
copla_castellana,0.55,0.00,0.00,0.00
copla_real,0.00,0.00,0.00,0.00
couplet,0.18,0.44,1.06,3.23
cuaderna_vía,0.00,0.00,0.00,0.00
cuarteta,0.18,0.00,0.10,0.00
cuarteto,0.00,0.00,0.68,0.00
décima antigua,0.00,0.00,0.00,0.00
cuarteto_lira,1.10,0.00,0.34,0.00
endecha_real,0.00,0.00,0.00,0.00
espinela,0.00,0.00,3.29,0.00
estrofa_francisco_de_la_torre,0.00,0.00,0.05,0.00
estrofa_manriqueña,0.00,0.00,0.00,0.00
estrofa_sáfica,0.00,0.00,0.00,0.00
lira,4.02,3.93,0.00,0.00
haiku,0.00,0.00,0.00,0.00
octava,1.83,0.66,3.53,4.61
novena,0.73,0.00,2.75,3.69
octava_mixta,0.00,0.00,0.00,0.00
octava_real,7.13,0.00,5.89,0.00
octavilla,0.00,0.00,0.00,0.00
ovillejo,0.00,0.00,0.00,0.00
quintilla,1.10,0.00,0.10,0.00
quinteto,0.00,0.00,0.00,0.00
redondilla,0.18,0.00,1.30,0.46
romance,0.00,0.00,2.75,3.23
romance_arte_mayor,2.19,0.00,0.05,0.46
seguidilla,0.00,0.00,7.05,12.44
seguidilla_compuesta,0.00,0.00,0.00,0.00
seguidilla_gitana,0.00,0.00,0.00,0.00
septeto,0.73,0.00,0.14,0.00
septeto_lira,0.00,0.00,0.00,0.00
septilla,0.00,0.00,1.21,0.46
serventesio,0.73,1.75,0.05,0.46
sexta_rima,0.00,0.00,0.05,0.00
sexteto,0.00,0.00,0.00,0.00
sexteto_lira,0.00,0.00,2.17,17.05
sextilla,0.00,0.00,0.92,0.00
silva_arromanzada,0.00,0.00,0.00,0.00
soleá,0.00,0.00,0.00,0.00
tercetillo,0.00,0.00,0.05,0.00
terceto_encadenado,0.00,0.00,0.14,0.46
terceto,69.65,78.38,2.61,35.02
terceto_monorrimo,0.00,0.00,0.00,0.00
